img,tags,date,city,location,spec_location,hover_text,modal_text,macro
plant (11).jpg,"['Vegetation', 'Plant', 'Tree', 'Grass']",8/19/2022,San Francisco,Salesforce Tower,Salesforce Tower,,,
plant (15).jpg,"['Plant', 'Cactus', 'Reef', 'Sea', 'Water', 'Sea', 'Outdoors', 'Nature', 'Animal']",8/19/2022,San Francisco,Salesforce Tower,Salesforce Tower,,,
sky (12).jpg,"['Cable', 'Utility', 'Power', 'Electric']",8/19/2022,San Francisco,Transit Norcal,F Bus,,,
sky (13).jpg,"['Fence', 'Tarmac', 'Road']",8/19/2022,San Francisco,Transit Norcal,F Bus,,,
water (1).jpg,"['Pond', 'Nature', 'Water', 'Outdoors', 'Land', 'Scenery', 'Lake', 'Tree', 'Plant', 'Wilderness', 'Fir', 'Swamp', 'Vegetation']",8/27/2022,Berkeley,Tilden Park,Berkeley Hike,,,
plant (1).jpg,"['Dahlia', 'Flower', 'Plant', 'Petal', 'Geranium', 'Rose']",9/3/2022,San Francisco,Golden Gate Park,Golden Gate Park,,,
plant (17).jpg,,,Berkeley,Apartment,Apartment,A venus fly trap.,The venus fly trap I bought to deal with fruit flies in our apartment,
plant (18).jpg,,,Berkeley,,,,,
animal (2).jpg,,,Berkeley,Campus,On Campus,,,
animal (8).jpg,,,Berkeley,Campus,On Campus,,,
animal (9).jpg,,,Berkeley,Campus,On Campus,,,
tree (49).jpg,,,Berkeley,Apartment,Apartment Courtyard,,,
sky (28).jpg,,,Berkeley,Apartment,Apartment Outside,,,
window (1).jpg,,,Berkeley,Apartment,Apartment,A square window.,This is the window in the apartment stairwell.,
animal (1).jpg,,,Berkeley,Marina,Marina Animals,A ground squirrel.,I only happened to get one picture of the squirrels and this one was actually looking very malnourished. But the rest were very plump. You'll just have to take my word for it.,
marina (1).jpg,,,Berkeley,Marina,Marina Coast,,,
marina (3).jpg,,,Berkeley,Marina,Marina Coast,,,
marina (4).jpg,,,Berkeley,Marina,Marina Coast,,,
sky (3).jpg,,,Oakland,Harbor,Oakland,,,
water (2).jpg,,,Berkeley,Marina,Marina,,,
window.jpg,,,Berkeley,Apartment,Apartment,,,
sky.jpg,,,Berkeley,Northside,Near Campus,,,
plant (5).jpg,,,Berkeley,,,,,
animal (28).jpg,,,Berkeley,Southside,Southside,,,
sky (27).jpg,,,Berkeley,Southside,Southside,,,
animal (10).jpg,,,Berkeley,Apartment,Apartment Courtyard,,,
sky (10).jpg,,,Berkeley,Apartment,Apartment Window,,,
sky (11).jpg,,,Berkeley,Apartment,Apartment Window,,,
bug (5).jpg,,,Berkeley,,,,,
bug (6).jpg,,,Berkeley,Apartment,Apartment,A snout moth.,"This is a species of snout moth I found in our bathroom. Apparently its ""snout"" is actually it's mouth parts and note a nose.",
plant (4).jpg,,,Berkeley,Apartment,Apartment,Flies on a venus fly trap.,"Even after one of the mouths closed, some flies were still loitering about, attracted to the mimicked food smell",
sky (5).jpg,,,Berkeley,Tennis Courts,On Campus,,,
